% Model,System_batch.mph
% Version,COMSOL 6.0.0.318
% Date,"Sep 29 2023, 10:36"
% Table,Generator_export - 
% Time,Q,DH,QHD,QHH,prod,Qm,DHp,QH,D,QD
0,1,1,0,0,0,0,0,0,0,0
1.9531250000000002E-10,0.9999804695129002,0.9999804695129022,0,0,1.9530868545173833E-15,1.9530412597812156E-5,1.9530412597812156E-5,7.449998554418944E-11,7.449998552963865E-11,1.4550778423615457E-20
3.4046984849847313E-10,0.9999659547664153,0.9999659547664187,8.553505518701369E-21,8.553503039818158E-21,3.4046194738492722E-15,3.404499083503743E-5,3.404499083503743E-5,2.427462652284863E-10,2.4274626517870025E-10,4.978598300537254E-20
6.307845454954194E-10,0.9999369269588034,0.9999369269588096,5.75643369999923E-19,5.756430338262292E-19,6.308150423374928E-15,6.307164356283766E-5,6.307164356283766E-5,1.397627482619263E-9,1.3976274821637504E-9,4.55512190332015E-19
1.2114139394893118E-9,0.9998788780839353,0.9998788780839474,5.764842141126137E-17,5.764835424129884E-17,1.2170813871939121E-14,1.2111200168523924E-4,1.2111200168523924E-4,9.914367168391619E-9,9.914367162180096E-9,6.211388007146505E-18
2.372672727477097E-9,0.9997628072870225,0.9997628072870398,6.625624505988708E-15,6.625609077944958E-15,3.034862342240061E-14,2.3711750715168603E-4,2.3711750715168603E-4,7.520578860630689E-8,7.520578851275194E-8,9.352407136217526E-17
4.695190303452666E-9,0.9995307734364488,0.9995307734356949,8.022259925152847E-13,8.022222581951544E-13,8.491632710689012E-13,4.6864127639625647E-4,4.6864127639625647E-4,5.85285502129828E-7,5.852855006701299E-7,1.4522258215872825E-15
9.340225455403805E-9,0.9990671362517459,0.9990671361532989,9.856398982678879E-11,9.856307271781296E-11,9.865733452759835E-11,9.282759494764087E-4,9.282759494764087E-4,4.5876015345271795E-6,4.58760150994932E-6,2.2742831979168074E-14
1.3364880446341681E-8,0.998665744563929,0.9986657439215391,6.425991244117387E-10,6.425930507521467E-10,6.427326633262168E-10,0.0013226276753084696,0.0013226276753084696,1.1626475367176156E-5,1.1626475285547186E-5,6.947811611098158E-14
1.6910165702694477E-8,0.9983124132577645,0.9983124109823093,2.27579205865912E-9,2.2757699062816243E-9,2.2759609922902875E-9,0.0016661190701617848,0.0016661190701617848,2.1463120197094652E-5,2.146312000732428E-5,1.454586950935388E-13
1.973320157143717E-8,0.9980312230621762,0.9980312178882432,5.174417255969189E-9,5.174366006052565E-9,5.174614362968406E-9,0.0019367232476324174,0.0019367232476324174,3.2043340975013976E-5,3.204334063674078E-5,2.3576925806755157E-13
2.2158922093101757E-8,0.9977897267011631,0.9977897169544565,9.747367222517607E-9,9.747268892667407E-9,9.747588523723363E-9,0.002166835001677856,0.002166835001677856,4.341880196054684E-5,4.3418801422996275E-5,3.40905529786335E-13
2.4199095893469743E-8,0.9975866989620277,0.9975866831001562,1.5862728445762967E-8,1.586256569884729E-8,1.58629700772231E-8,0.002358520149906233,0.002358520149906233,5.474916207752013E-5,5.474916129968711E-5,4.523983430323942E-13
2.5989348894052977E-8,0.9974086081449899,0.9974085844515268,2.369454069239031E-8,2.369429353854241E-8,2.369480013861422E-8,0.002525202981563926,0.002525202981563926,6.614148378136354E-5,6.614148271661164E-5,5.705861027950495E-13
2.755085947730415E-8,0.9972533230225941,0.9972532900133356,3.3010574515821426E-8,3.30102248240742E-8,3.301084946951471E-8,0.002669370812796492,0.002669370812796492,7.72401428436372E-5,7.724014145355616E-5,6.909689303568239E-13
2.8941888843265377E-8,0.9971150323428002,0.9971149885400021,4.380437177285278E-8,4.380390090428516E-8,4.380466050335429E-8,0.002796791594306381,0.002796791594306381,8.808845351781197E-5,8.808845176326235E-5,8.132705627197018E-13
3.018034025907805E-8,0.9969919431781021,0.9969918873511588,5.582878872747919E-8,5.5828180394388685E-8,5.582908968075296E-8,0.0029094097069903156,0.0029094097069903156,9.853545670122895E-5,9.853545455019707E-5,9.35072725075923E-13
3.129494653330945E-8,0.9968811898673586,0.9968811208962928,6.897319627796599E-8,6.897243513555782E-8,6.897350818403028E-8,0.0030100771995410927,0.0030100771995410927,1.085949860995012E-4,1.0859498352235131E-4,1.0558891485746605E-12
3.229809218011772E-8,0.9967815340033281,0.9967814510188298,8.298692247296964E-8,8.29859958972399E-8,8.298724418555371E-8,0.003100106186897263,0.003100106186897263,1.1819383535864826E-4,1.1819383233266703E-4,1.1742391375350562E-12
3.320092326224515E-8,0.9966918618803989,0.9966917642693459,9.761377598564545E-8,9.761267431443611E-8,9.76141064714192E-8,0.0031806593608996883,0.0031806593608996883,1.272835306297513E-4,1.2728352713931856E-4,1.2889501800116264E-12
3.401347123615984E-8,0.9966111718683686,0.9966110592650167,1.1260637495469012E-7,1.1260509152957322E-7,1.1260671328349092E-7,0.003252767205863551,0.003252767205863551,1.358357125617197E-4,1.3583570859810766E-4,1.3991315505541516E-12
3.474476441268307E-8,0.9965385630785671,0.9965384353455111,1.2773637677877568E-7,1.2773490783030842E-7,1.277367221146208E-7,0.003317343414113526,0.003317343414113526,1.438380341828738E-4,1.4383802974376634E-4,1.5041413981425186E-12
3.540292827155397E-8,0.9964732251868776,0.9964730823894999,1.4280099120206268E-7,1.4279933562232583E-7,1.428013427948067E-7,0.0033751985901360935,0.0033751985901360935,1.512906207015142E-4,1.5129061579033712E-4,1.6035515484241079E-12
3.606109213042487E-8,0.9964078974386144,0.9964077380032433,1.59439304124436E-7,1.5943744020438506E-7,1.5943966191611112E-7,0.0034327871552793715,0.0034327871552793715,1.5899652729286454E-4,1.5899652186124596E-4,1.708030534909934E-12
3.6653439603408684E-8,0.9963491107809509,0.9963489349957807,1.7578941426705914E-7,1.7578734364546585E-7,1.7578977758347105E-7,0.00348439845277523,0.00348439845277523,1.6613918734265603E-4,1.6613918140012825E-4,1.8062908638669142E-12
