% Model,System_batch.mph
% Version,COMSOL 6.0.0.318
"% Date,""Jul 11 2023, 14:08"""
% Table,Evaluation Group 2 - 
% Ke,KH,Kr,Kdisp,KqH,Ks,Kd,Kc,Kp,KrD,Kph,light,Time,Q,DH,QHD,QHH,prod,Qm,DHp,QH,D,QD
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,2.5000000000000002E-8,0.9997500833509192,0.9997500833412772,9.90367772511906E-12,9.903429728641069E-12,1.0153636287512764E-11,2.4903004600247496E-4,2.490300460024751E-4,8.865830096493692E-7,8.86582997330154E-7,1.1822747260743796E-14
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,3.7500000000000005E-8,0.999625177124605,0.9996251770294464,9.558020326961866E-11,9.557757193789891E-11,9.595511694132906E-11,3.7220465402756046E-4,3.722046540275606E-4,2.6180297905383064E-6,2.6180297407318077E-6,4.4539435688132594E-14
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,5.0000000000000004E-8,0.999500302419169,0.9995003019226915,4.971073510068488E-10,4.970923275071896E-10,4.976072105753032E-10,4.940289532007847E-4,4.940289532007848E-4,5.667632815627865E-6,5.667632670191674E-6,1.153680749244149E-13
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,7.500000000000001E-8,0.99925062951637,0.99925062448057,5.037156594630375E-9,5.036969339285692E-9,5.0379063334976385E-9,7.33153653531638E-4,7.331536535316383E-4,1.6206754802899003E-5,1.6206754008240932E-5,4.20045005309673E-13
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,1.0000000000000001E-7,0.9990010919317788,0.9990010648074323,2.712759819173191E-8,2.7126453558386555E-8,2.7128597091234456E-8,9.637165851400091E-4,9.637165851400095E-4,3.513722692222943E-5,3.513722352610416E-5,1.1079944173550273E-12
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,1.216608454847849E-7,0.9987850220988586,0.9987849364939339,8.561221486287405E-8,8.560832143894496E-8,8.56134250372818E-8,0.001154933698782069,0.0011549336987820694,5.987297842616609E-5,5.9872968469313045E-5,2.1813277125755184E-12
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,1.433216909695698E-7,0.9985691325351684,0.9985689010745796,2.3147735775564508E-7,2.3146591873800097E-7,2.3147875649356088E-7,0.001336857387472939,0.0013368573874729401,9.354712875205492E-5,9.354710204279959E-5,3.898059078544241E-12
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,1.649825364543547E-7,0.9983535092457068,0.9983529588445301,5.504389623446644E-7,5.50409291125169E-7,5.504404624866601E-7,0.001508565635105006,0.001508565635105007,1.3682426282000221E-4,1.3682419730746942E-4,6.466674911052729E-12
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,1.866433819391396E-7,0.9981382874307435,0.9981371098174238,1.1776945361760976E-6,1.177625295276366E-6,1.177695860626575E-6,0.0016694244674299674,0.0016694244674299683,1.8993277001934697E-4,1.8993262250653587E-4,1.0111432859115872E-11
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,2.083042274239245E-7,0.9979236622996571,0.9979213538849887,2.3085795579663728E-6,2.308431816051574E-6,2.308579947139501E-6,0.0018190664690910434,0.0018190664690910447,2.526542027301503E-4,2.526538955626153E-4,1.506704529386788E-11
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,2.299650729087094E-7,0.9977098950891817,0.9977056908607702,4.204544361260647E-6,4.204252281776254E-6,4.204541971551081E-6,0.0019573656684593213,0.001957365668459322,3.2433042184566144E-4,3.243298254866423E-4,2.157342669512259E-11
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,2.516259183934943E-7,0.9974973121611742,0.997490120485369,7.192248910059128E-6,7.191708189259494E-6,7.192239704105388E-6,0.002084407402371562,0.002084407402371563,4.0389644697105576E-4,4.038953590965992E-4,2.9870900845434083E-11
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,2.732867638782792E-7,0.9972862959173081,0.9972746424201677,1.1654485534145057E-5,1.1653540065737296E-5,1.1654461421031259E-5,0.002200454698476472,0.0022004546984764725,4.899413156905058E-4,4.899394382420914E-4,4.019604961128858E-11
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,2.927815248145856E-7,0.9970980509847099,0.9970807907586233,1.7261774521377937E-5,1.726028041320833E-5,1.7261724816614524E-5,0.0022958122085287125,0.002295812208528713,5.71614697500852E-4,5.716117631385807E-4,5.140248256255375E-11
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,3.1029206258346813E-7,0.9969305851149284,0.996906732952848,2.3854411625563955E-5,2.38522283301719E-5,2.3854322948227072E-5,0.0023744347011553685,0.002374434701155368,6.472734777115128E-4,6.472692315205391E-4,6.315105230540503E-11
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,3.259509119507089E-7,0.9967823219633213,0.99675113163272,3.1193405584043954E-5,3.11904089581487E-5,3.119326295720823E-5,0.0024393656429201097,0.0024393656429201093,7.159285008607315E-4,7.159227242693798E-4,7.510161438839913E-11
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,3.4004387638122555E-7,0.9966502278669223,0.9966111309036391,3.9100973507752E-5,3.909705376914436E-5,3.910076084432041E-5,0.0024936662871282308,0.0024936662871282295,7.779077281882467E-4,7.779002337374342E-4,8.70897758723732E-11
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,3.5272754436869057E-7,0.9965325226725987,0.9964851628517751,4.736485368413949E-5,4.7359923270411646E-5,4.736455505838044E-5,0.002539341094877729,0.0025393410948777273,8.33411353124283E-4,8.334019976667474E-4,9.8923722168713E-11
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,3.654112123561556E-7,0.9964160105773694,0.9963592255212628,5.67913075340225E-5,5.6785171544779595E-5,5.679089501234212E-5,0.002582135740800383,0.0025821357408003813,8.882770873160338E-4,8.882655358879029E-4,1.1178790931207712E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,3.768265135448741E-7,0.9963122166668176,0.996245908063078,6.631613770160426E-5,6.630873177861912E-5,6.631559350228365E-5,0.0026182961142111037,0.0026182961142111024,9.368622214555311E-4,9.368483812561969E-4,1.2427438480737682E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,3.882418147335926E-7,0.9962094728373184,0.9961326152359539,7.686661250399828E-5,7.68577428920247E-5,7.686590299507141E-5,0.002652333131894207,0.002652333131894206,9.84469533868118E-4,9.844530837635665E-4,1.3764828972375287E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,3.996571159223111E-7,0.9961078074986887,0.9960193469125945,8.847128645552339E-5,8.846074202115926E-5,8.847037170726299E-5,0.0026843459288245003,0.002684345928824499,0.0010309143880884413,0.0010308949847604631,1.5193303142126684E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,4.110724171110296E-7,0.9960072411929317,0.9959061029636712,1.0115084809329343E-4,1.0113840052013802E-4,1.0114968125886694E-4,0.0027144316822913937,0.002714431682291392,0.0010760377049102226,0.0010760149844867104,1.6715072072282194E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,4.2248771829974807E-7,0.9959077868281792,0.9957928832582388,1.1491835341823726E-4,1.1490375748658117E-4,1.1491688011989325E-4,0.0027426855912509917,0.0027426855912509904,0.0011197052821264263,0.001119678861969538,1.8332231372199431E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,4.3390301948846657E-7,0.9958094499228091,0.9956796876644343,1.2977946920125823E-4,1.29762463181633E-4,1.2977762694431043E-4,0.0027692006398097263,0.002769200639809726,0.0011618073002004476,0.0011617767808668267,2.0046767617991551E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,4.4531832067718507E-7,0.995712228945264,0.9955665160502442,1.4573281192114263E-4,1.457131180798384E-4,1.45730529549669E-4,0.002794067330179818,0.002794067330179816,0.0012022575715056772,0.0012022225388471403,2.186056241004568E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,4.5673362186590356E-7,0.9956161157615692,0.9954533682842603,1.6277039442874535E-4,1.6274771963250144E-4,1.6276759163300967E-4,0.002817373444078797,0.0028173734440787956,0.0012409924379792395,0.0012409524653383302,2.377539581316697E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,4.6814892305462206E-7,0.9955210961764863,0.995340244236391,1.8087816630707056E-4,1.8085220271037595E-4,1.808747531900977E-4,0.002839203848642287,0.0028392038486422856,0.0012779693432530847,0.0012779239937055036,2.579294973403332E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,4.795642242433406E-7,0.9954271505454966,0.9952271437785087,2.0003662513990464E-4,2.0000705093735344E-4,2.000325018484517E-4,0.002859640348459597,0.002859640348459595,0.0013131651460334217,0.0013131139746317437,2.791481138613736E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,4.90979525432059E-7,0.9953342544328782,0.9951140667850299,2.2022147396415158E-4,2.2018795419058475E-4,2.2021653038728115E-4,0.002878761580604772,0.00287876158060477,0.0013465742520388192,0.0013465168080165413,3.0142476859983425E-10
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,5.023948266207774E-7,0.9952423792921924,0.9950010131334168,2.414043012208371E-4,2.4136648858298724E-4,2.4139841675739583E-4,0.0028966429481410262,0.002896642948141025,0.001378206640076807,0.0013781424689775566,3.247735477563506E-10
